seed_url,display_name,contributor_id,kind,contributor_gh_url,contributor_orcid,contributor_handle,contributor_name,first_contribution,last_contribution
https://github.com/google-deepmind/alphafold,AlphaFold 2,https://github.com/Augustin-Zidek,github,https://github.com/Augustin-Zidek,,Augustin-Zidek,Augustin Žídek,2021-07-15,2026-04-14
https://github.com/google-deepmind/alphafold,AlphaFold 2,https://github.com/saran-t,github,https://github.com/saran-t,,saran-t,Saran Tunyasuvunakool,2021-07-22,2021-07-22
https://github.com/google-deepmind/alphafold,AlphaFold 2,https://github.com/tomwardio,github,https://github.com/tomwardio,,tomwardio,Tom Ward,2021-07-27,2022-06-14
https://github.com/google-deepmind/alphafold,AlphaFold 2,https://github.com/mfigurnov,github,https://github.com/mfigurnov,,mfigurnov,Michael Figurnov,2021-08-31,2022-02-16
https://github.com/google-deepmind/alphafold,AlphaFold 2,https://github.com/andycowie,github,https://github.com/andycowie,,andycowie,andycowie,2021-11-04,2022-12-15
https://github.com/google-deepmind/alphafold,AlphaFold 2,https://github.com/rich12321,github,https://github.com/rich12321,,rich12321,rich12321,2021-11-05,2022-03-07
https://github.com/google-deepmind/alphafold,AlphaFold 2,https://github.com/tfgg,github,https://github.com/tfgg,,tfgg,Tim Green,2022-01-19,2022-01-19
https://github.com/google-deepmind/alphafold,AlphaFold 2,https://github.com/tomhennigan,github,https://github.com/tomhennigan,,tomhennigan,Tom Hennigan,2022-02-14,2022-02-14
https://github.com/google-deepmind/alphafold,AlphaFold 2,https://github.com/sbodenstein,github,https://github.com/sbodenstein,,sbodenstein,Sebastian Bodenstein,2022-03-02,2022-03-08
https://github.com/google-deepmind/alphafold,AlphaFold 2,https://github.com/rchen152,github,https://github.com/rchen152,,rchen152,Rebecca Chen,2022-03-21,2022-03-21
https://github.com/google-deepmind/alphafold,AlphaFold 2,https://github.com/Htomlinson14,github,https://github.com/Htomlinson14,,Htomlinson14,Hamish Tomlinson,2022-08-31,2024-04-15
https://github.com/google-deepmind/alphafold,AlphaFold 2,https://github.com/hawkinsp,github,https://github.com/hawkinsp,,hawkinsp,Peter Hawkins,2022-10-13,2024-07-25
