seed_url,display_name,ror_uri,ror_name,contributor_count
https://github.com/google-deepmind/alphafold,AlphaFold 2,https://github.com/google-deepmind,google-deepmind,0
https://github.com/google-deepmind/alphafold,AlphaFold 2,https://ror.org/00971b260,Google DeepMind,0
https://github.com/google-deepmind/alphafold,AlphaFold 2,https://ror.org/01tgmhj36,Coventry University,1
https://github.com/google-deepmind/alphafold,AlphaFold 2,https://ror.org/04d06q394,Google (Canada),1
https://github.com/google-deepmind/alphafold,AlphaFold 2,https://ror.org/02jx3x895,University College London,1
https://github.com/google-deepmind/alphafold,AlphaFold 2,https://ror.org/002h8g185,University of Bath,1
https://github.com/RosettaCommons/RoseTTAFold,RoseTTAFold,https://github.com/RosettaCommons,RosettaCommons,0
https://github.com/aqlaboratory/openfold,OpenFold,https://github.com/aqlaboratory,aqlaboratory,0
https://github.com/aqlaboratory/openfold,OpenFold,https://ror.org/023aw9j89,Agency for Quality Assurance and Accreditation Austria,0
https://github.com/aqlaboratory/openfold,OpenFold,https://ror.org/01526xe10,Boston Consulting Group (United States),1
https://github.com/aqlaboratory/openfold,OpenFold,https://ror.org/05gq02987,Brown University,1
https://github.com/aqlaboratory/openfold,OpenFold,https://ror.org/02s04h872,D. E. Shaw Research,1
https://github.com/aqlaboratory/openfold,OpenFold,https://ror.org/03vek6s52,Harvard University,1
https://github.com/aqlaboratory/openfold,OpenFold,https://ror.org/04a9tmd77,Icahn School of Medicine at Mount Sinai,1
https://github.com/aqlaboratory/openfold,OpenFold,https://ror.org/02en65a92,Open Molecular Software Foundation,1
https://github.com/HeliXonProtein/OmegaFold,OmegaFold,https://github.com/HeliXonProtein,HeliXonProtein,0
https://github.com/HeliXonProtein/OmegaFold,OmegaFold,https://ror.org/04h9pn542,Seoul National University,1
https://github.com/sokrypton/ColabFold,ColabFold,https://github.com/sokrypton,sokrypton,0
https://github.com/sokrypton/ColabFold,ColabFold,https://ror.org/04h9pn542,Seoul National University,2
https://github.com/sokrypton/ColabFold,ColabFold,https://ror.org/05dqf9946,Institute of Science Tokyo,1
https://github.com/sokrypton/ColabFold,ColabFold,https://ror.org/05591te55,Ludwig-Maximilians-Universität München,1
https://github.com/sokrypton/ColabFold,ColabFold,https://ror.org/03av75f26,Max Planck Institute for Multidisciplinary Sciences,1
https://github.com/sokrypton/ColabFold,ColabFold,https://ror.org/04q78tk20,Sungkyunkwan University,1
https://github.com/sokrypton/ColabFold,ColabFold,https://ror.org/02kkvpp62,Technical University of Munich,1
https://github.com/sokrypton/ColabFold,ColabFold,https://ror.org/057zh3y96,The University of Tokyo,1
https://github.com/sokrypton/ColabFold,ColabFold,https://ror.org/051k3eh31,Tokyo Medical and Dental University,1
https://github.com/sokrypton/ColabFold,ColabFold,https://ror.org/01y9bpm73,University of Göttingen,1
https://github.com/google-deepmind/alphafold3,AlphaFold 3,https://github.com/google-deepmind,google-deepmind,0
https://github.com/google-deepmind/alphafold3,AlphaFold 3,https://ror.org/00971b260,Google DeepMind,0
